COSTCO WHOLESALE CORP COST,COST
COTY INC COTY,COTY
CR BARD INC BCR,BCR
CRANE CO CR,CR
CREDIT ACCEP CORP MICH CACC,CACC
CROWN CASTLE INTL CORP CCI,CCI
CROWN HOLDINGS INC CCK,CCK
CSRA INC CSRA,CSRA
CST BRANDS INC CST,CST
CSX CORP CSX,CSX
CUBESMART CUBE,CUBE
CULLEN FROST BANKERS CFR,CFR
CUMMINS INC CMI,CMI
CVS HEALTH CORPORATION CVS,CVS
CYPRESS SEMICONDUCTOR CY,CY
CYRUSONE INC CONE,CONE
D R HORTON INC DHI,DHI
DANAHER CORP DHR,DHR
DARDEN RESTAURANTS INC DRI,DRI
DAVITA INC DVA,DVA
DCT INDUSTRIAL TRUST INC DCT,DCT
DDR CORP DDR,DDR
DEERE & CO DE,DE
DELL TECHNOLOGIES DVMT,DVMT
DELPHI AUTOMOTIVE PLC DLPH,DLPH
DELTA AIR LINES INC DAL,DAL
DENTSPLY SIRONA INC XRAY,XRAY
DEVON ENERGY CORP DVN,DVN
DEXCOM INC DXCM,DXCM
DIAMONDBACK ENERGY INC FANG,FANG
DICKS SPORTING GOODS INC DKS,DKS
DIGITAL REALTY TRUST INC DLR,DLR
DISCOVER FINANCIAL SRVC DFS,DFS
DISCOVERY COMM CL A DISCA,DISCA
DISCOVERY COMM CL C DISCK,DISCK
DISH NETWORK CORP DISH,DISH
DISNEY WALT CO DIS,DIS
DOLBY LABORATORIES INC DLB,DLB
DOLLAR GENERAL CORP DG,DG
DOMINION ENERGY INC D,D
COPART INC CPRT,CPRT
CORECIVIC INC CXW,CXW
DOUGLAS EMMETT INC DEI,DEI
DOVER CORP DOV,DOV
DOW CHEMICAL CO DOW,DOW
DR PEPPER SNAPPLE GROUP DPS,DPS
DST SYSTEMS INC DST,DST
DTE ENERGY CO DTE,DTE
DU PONT E I DE NEMOURS DD,DD
DUKE ENERGY CORP DUK,DUK
DUKE REALTY CORP DRE,DRE
DUN & BRADSTREET CORP DNB,DNB
DUNKIN BRANDS GROUP INC DNKN,DNKN
DUPONT FABROS TECHNOLOGY DFT,DFT
DXC TECHNOLOGY COMPANY DXC,DXC
E TRADE FINANCIAL CORP ETFC,ETFC
EAGLE MATERIALS INC EXP,EXP
EAST WEST BANCORP INC EWBC,EWBC
EASTMAN CHEMICAL CO EMN,EMN
EATON CORP PLC ETN,ETN
EATON VANCE CORP EV,EV
EBAY INC EBAY,EBAY
ECHOSTAR CORP SATS,SATS
ECOLAB INC ECL,ECL
EDGEWELL PERSONAL CARE EPC,EPC
EDISON INTERNATIONAL EIX,EIX
EDWARDS LIFESCIENCES EW,EW
ELECTRONIC ARTS INC EA,EA
EMERSON ELECTRIC CO EMR,EMR
EMPIRE STATE REALTY ESRT,ESRT
ENDO INTERNATIONAL PLC ENDP,ENDP
ENERGEN CORP EGN,EGN
ENERGIZER HOLDINGS INC ENR,ENR
ENTERGY CORP ETR,ETR
ENVISION HEALTHCARE CORP EVHC,EVHC
EOG RESOURCES INC EOG,EOG
EPR PROPERTIES EPR,EPR
EQT CORPORATION EQT,EQT
EQUIFAX INC EFX,EFX
EQUINIX INC EQIX,EQIX
EQUITY COMMONWEALTH EQC,EQC
EQUITY LIFESTYLE PROP ELS,ELS
EQUITY RESIDENTIAL EQR,EQR
ERIE INDEMNITY CO ERIE,ERIE
ESSEX PROPERTY TRUST INC ESS,ESS
ESTEE LAUDER COMPANIES EL,EL
EURONET WORLDWIDE INC EEFT,EEFT
EVEREST RE GROUP LTD RE,RE
DOMTAR CORPORATION UFS,UFS
DONALDSON INC DCI,DCI
EXPEDIA INC EXPE,EXPE
EXPEDITORS INTL OF WASH EXPD,EXPD
EXPRESS SCRIPTS HOLD CO ESRX,ESRX
EXTENDED STAY AMERICA STAY,STAY
EXTRA SPACE STORAGE INC EXR,EXR
EXTRACTION OIL & GAS INC XOG,XOG
EXXON MOBIL CORP XOM,XOM
F5 NETWORKS INC FFIV,FFIV
FACEBOOK INC FB,FB
FACTSET RESEARCH SYSTEMS FDS,FDS
FASTENAL CO FAST,FAST
FEDERAL REALTY INVT FRT,FRT
FEDERATED INVESTORS INC FII,FII
FEDEX CORP FDX,FDX
FIDELITY NATL INFO SVCS FIS,FIS
FIFTH THIRD BANCORP FITB,FITB
FIREEYE INC FEYE,FEYE
FIRST AMERICAN FINL CORP FAF,FAF
FIRST DATA CORPORATION FDC,FDC
FIRST HAWAIIAN INC FHB,FHB
FIRST HORIZON NATL CORP FHN,FHN
FIRST REP BK SAN FRAN FRC,FRC
FIRST SOLAR INC FSLR,FSLR
FIRSTENERGY CORP FE,FE
FISERV INC FISV,FISV
FLEETCOR TECHNOLOGIES FLT,FLT
FLIR SYSTEMS INC FLIR,FLIR
FLOOR & DECOR HOLDINGS FND,FND
FLOWERS FOODS INC FLO,FLO
FLOWSERVE CORP FLS,FLS
FLUOR CORP FLR,FLR
FMC CORP FMC,FMC
FNB CORP FNB,FNB
FNF GROUP FNF,FNF
FOOT LOCKER INC FL,FL
FORD MOTOR CO F,F
